parameter_name,B Cells
pvalue,0.3305001
parameter_id,IMPC_IMM_063_001
gene_symbol,Bmi1
mouse_strain,C57BL
analysis_id,6zbu3gqqr6dpr60
gene_accession_id,MGI:88174
mouse_life_stage,E12.5
