parameter_id,IMPC_IMM_055_001
mouse_life_stage,E18.5
analysis_id,8yitq8z942iaa0a
gene_accession_id,MGI:1914309
gene_symbol,Ola1
mouse_strain,C57BL
parameter_name,NK Subsets (Q2)
pvalue,0.6081831
