parameter_name,Startle response
gene_symbol,Secisbp2l
mouse_life_stage,Late adult
pvalue,0.7028331
mouse_strain,C57BL
gene_accession_id,MGI:1917604
parameter_id,HMGULA_SHI_009_001
analysis_id,2kmqa8h21s1up13
