parameter_id,MGP_IMM_036_001
pvalue,0.737893
gene_symbol,Ints7
mouse_life_stage,Early adult
gene_accession_id,MGI:1924315
analysis_id,lofr4359xy63tf1
mouse_strain,C57BL
parameter_name,KLRG1+ NK cells - % of NK cells
