analysis_id,tm08k90e1iuzccq
gene_accession_id,MGI:1336200
mouse_life_stage,Late adult
pvalue,0.5189296
parameter_name,Resting CD8+ T cells - % of CD8+
parameter_id,MGP_MLN_014_001
mouse_strain,C57BL
gene_symbol,Hpca
