gene_symbol,Steap3
parameter_id,IMPC_GEO_048_002
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915678
analysis_id,2015c7d9utch6n7
pvalue,0.6395975
parameter_name,Anophthalmia
