analysis_id,sx26x5v03457o81
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_704
gene_accession_id,MGI:1914309
gene_symbol,Ola1
pvalue,0.5396036
mouse_strain,C57BL
parameter_name,Prepulse inhibition - PP4
