parameter_name,Chloride
pvalue,0.07577278
parameter_id,HMGULA_CBC_003_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ola1
analysis_id,i32i86972g0n4p3
gene_accession_id,MGI:1914309
