analysis_id,cq2h2jy80869116
parameter_id,IMPC_EYE_009_001
gene_accession_id,MGI:2685277
mouse_strain,C57BL
parameter_name,Corneal vascularization
gene_symbol,Zyg11b
pvalue,0.2364205
mouse_life_stage,E18.5
