analysis_id,m1xa7e3m7zb7h5j
pvalue,0.08888355
parameter_id,CCP_LFO_001_001
gene_accession_id,MGI:1914515
mouse_life_stage,Early adult
gene_symbol,Slc39a10
mouse_strain,C57BL
parameter_name,Weight
