analysis_id,8259o394md693k0
mouse_life_stage,Early adult
parameter_name,Alpha beta T cell percentage
gene_symbol,Cpa3
mouse_strain,C57BL
parameter_id,MGP_PBI_002_001
pvalue,0.8013923
gene_accession_id,MGI:88479
