analysis_id,bm46sa1532p1t4y
parameter_id,MGP_IMM_078_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of CD45+
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
pvalue,0.9303613
