analysis_id,dxuzu327jd01o1b
pvalue,0.3379007
gene_symbol,Rab22a
parameter_name,Stroke Volume
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_003_001
gene_accession_id,MGI:105072
mouse_strain,C57BL
