analysis_id,b7x2ih2906r5liq
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_010_001
parameter_name,Bone Area
gene_accession_id,MGI:2448481
mouse_strain,C57BL
pvalue,0.951856
gene_symbol,Mgst2
