analysis_id,5tpg196v1n59y37
pvalue,0.0745548
gene_symbol,Ahctf1
parameter_name,Effector CD8+ T cells - % of CD45+
gene_accession_id,MGI:1915033
parameter_id,MGP_IMM_081_001
mouse_strain,C57BL
mouse_life_stage,Early adult
