analysis_id,90t9j8p3605rd07
gene_symbol,Cntfr
parameter_id,IMPC_OFD_022_001
mouse_strain,129SV
pvalue,0.5971653
gene_accession_id,MGI:99605
parameter_name,Percentage center time
mouse_life_stage,Early adult
