analysis_id,48z61yiopt5abd1
mouse_life_stage,Late adult
gene_accession_id,MGI:109128
parameter_name,Narrow eye opening
parameter_id,IMPC_EYE_006_001
pvalue,0.8795733
mouse_strain,C57BL
gene_symbol,Hnf4a
