analysis_id,322dwo6joy8i0lt
parameter_id,IMPC_HEM_037_001
mouse_strain,C57BL
gene_accession_id,MGI:1913506
parameter_name,Basophil cell count
pvalue,0.5390733
mouse_life_stage,Early adult
gene_symbol,Ssr2
