parameter_name,110dB startle magnitude
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.6646598
analysis_id,v7uj8i5srn63rv9
gene_symbol,Tiprl
parameter_id,ESLIM_011_001_006
gene_accession_id,MGI:1915087
