parameter_id,IMPC_GPP_004_001
gene_accession_id,MGI:2673000
pvalue,0.802529
gene_symbol,Trim46
mouse_life_stage,Early adult
parameter_name,Placenta Size
mouse_strain,C57BL
analysis_id,j8t7ji706xf938d
