Mouse_strain,C57BL
Gene_accession_id,MGI:1914437
Analysis_id,4o2xj5jf1upn8m6
pvalue,0.297259
Parameter_name,Effector Treg cells - % of Treg
Mouse_life_stage,Early adult
Gene_symbol,Zmynd19
Parameter_id,MGP_IMM_010_001
