parameter_id,ESLIM_007_001_011
gene_accession_id,MGI:1915087
mouse_life_stage,E12.5
analysis_id,47444ge097q17q3
parameter_name,Centre resting time
mouse_strain,C57BL
pvalue,0.177302
gene_symbol,Tiprl
