analysis_id,8nzt9u6883xx737
mouse_strain,C57BL
gene_accession_id,MGI:1346088
parameter_id,MGP_IMM_070_001
mouse_life_stage,Early adult
pvalue,0.2306165
parameter_name,Total ab T cells - % of CD45+
gene_symbol,Cd52
