analysis_id,60e034t3w66343k
pvalue,0.8886745
gene_accession_id,MGI:96757
mouse_life_stage,Early adult
parameter_name,Retinal Blood Vessels
parameter_id,IMPC_EYE_024_001
mouse_strain,C57BL
gene_symbol,Lcn2
