analysis_id,8exhtkotr8ed14t
mouse_life_stage,Early adult
pvalue,0.1283611
gene_symbol,Usp37
mouse_strain,C57BL
parameter_id,MGP_IMM_089_001
gene_accession_id,MGI:2442483
parameter_name,KLRG1+ gd T cells - % of CD45+
