gene_symbol,Morn5
mouse_strain,C57BL
analysis_id,r868fpu1o1621zg
gene_accession_id,MGI:1922745
pvalue,0.1043219
parameter_id,ESLIM_014_001_008
mouse_life_stage,Early adult
parameter_name,Cornea vascularisation
