parameter_name,Startle response
pvalue,0.679442
gene_symbol,DMAP1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_008_001_013
analysis_id,0a315r02m1eeoa9
gene_accession_id,MGI:1913483
