analysis_id,70t27x241iy4981
mouse_life_stage,Early adult
mouse_strain,B6J
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
parameter_name,NKT cells (panel A)
parameter_id,IMPC_IMM_004_001
pvalue,0.7476149
