analysis_id,41wl9d584mc2owz
gene_symbol,Dmap1
parameter_id,IMPC_IMM_032_001
gene_accession_id,MGI:1913483
mouse_life_stage,Early adult
parameter_name,CD8 CD44+CD62L- T cells
pvalue,0.9139164
mouse_strain,C57BL
