parameter_name,Left total retinal thickness
analysis_id,s6g84wr6fy1ke7j
mouse_strain,C57BL
pvalue,0.6888124
gene_symbol,Ints7
parameter_id,IMPC_EYE_068_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1924315
