analysis_id,ohe8j7igs3nkdb3
parameter_id,JAX_OFD_020_001
mouse_life_stage,Early adult
pvalue,0.6026526
gene_symbol,Gpbp1l1
parameter_name,Distance travelled - total
mouse_strain,C57BL
gene_accession_id,MGI:1924360
