parameter_name,Body Length
parameter_id,M-G-P_005_001_006
analysis_id,c7jy3jhr6nk776s
pvalue,0.6975295
gene_accession_id,MGI:2444554
mouse_life_stage,E12.5
gene_symbol,Mapkap1
mouse_strain,C57BL
