analysis_id,2z7c98z4wv0b74y
parameter_name,Macrophages - % of CD45+
pvalue,0.5169389
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1913105
parameter_id,MGP_IMM_121_001
gene_symbol,Slc28a2
