analysis_id,14777i14u860t0y
parameter_id,MGP_MLN_014_001
pvalue,0.7820695
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3588214
gene_symbol,Rufy4
parameter_name,Resting CD8+ T cells - % of CD8+
