gene_symbol,Pglyrp3
mouse_strain,C57BL
parameter_id,IMPC_EYE_024_001
parameter_name,Retinal Blood Vessels
analysis_id,7ht9431266dnrj5
gene_accession_id,MGI:2685266
pvalue,0.4637882
mouse_life_stage,Early adult
