analysis_id,5p0g5803299ywv4
gene_symbol,Ssr2
pvalue,0.8147594
parameter_id,M-G-P_020_001_001
parameter_name,Body Weight
gene_accession_id,MGI:1913506
mouse_life_stage,Early adult
mouse_strain,C57BL
