parameter_name,CD8 CD44-CD62L+ T cells
gene_symbol,Extl1
pvalue,0.1212101
mouse_strain,C57BL
analysis_id,7n2r27e58gzf641
parameter_id,IMPC_IMM_034_001
gene_accession_id,MGI:1888742
mouse_life_stage,Early adult
