parameter_id,IMPC_ECH_003_001
mouse_life_stage,Early adult
analysis_id,2k8796wlfdv5cn1
mouse_strain,C57BL
pvalue,0.6034513
parameter_name,Stroke Volume
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
