analysis_id,328z76350r4rhs4
mouse_strain,C57BL
pvalue,0.8000026
gene_symbol,Cds2
parameter_id,MGP_IMM_013_001
mouse_life_stage,Early adult
parameter_name,Total CD8+ T cells - % of ab T cells
gene_accession_id,MGI:1332236
