gene_symbol,Morn5
parameter_id,JAX_OFD_010_001
mouse_strain,C57BL
analysis_id,6cd1ut5o74g897y
gene_accession_id,MGI:1922745
mouse_life_stage,Early adult
pvalue,0.4782751
parameter_name,Periphery distance travelled
