parameter_name,DN CD44+CD62L+ NKT cells
mouse_strain,C57BL
gene_symbol,Hrnr
analysis_id,98x96l546y8909j
parameter_id,IMPC_IMM_047_001
gene_accession_id,MGI:3046938
mouse_life_stage,Early adult
pvalue,0.1015115
