analysis_id,v8l2fpg92ns2kxl
gene_accession_id,MGI:2441730
parameter_name,LVIDd
parameter_id,IMPC_ECH_008_001
pvalue,0.9689641
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Tbl1xr1
