parameter_name,Follicular B Cells (CD21/35+)
gene_symbol,Zfp683
analysis_id,9d3qh9w0mdnzl5z
gene_accession_id,MGI:3650254
mouse_strain,C57BL
pvalue,0.7186888
parameter_id,IMPC_IMM_067_001
mouse_life_stage,Early adult
