gene_symbol,Fam163a
mouse_strain,C57BL
parameter_name,Radius
analysis_id,t1x5093989j161s
parameter_id,IMPC_XRY_022_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3618859
pvalue,0.4673183
