gene_symbol,Lcn2
parameter_id,JAX_ROT_002_001
analysis_id,v6597110yw8yq21
mouse_life_stage,Early adult
pvalue,0.8028683
parameter_name,Average duration
gene_accession_id,MGI:96757
mouse_strain,C57BL
