analysis_id,fc2cad4847c3c68
parameter_name,Head morphology
gene_symbol,Lcn2
mouse_strain,C57BL
pvalue,0.1647641
parameter_id,MGP_CSD_064_001
gene_accession_id,MGI:96757
mouse_life_stage,Early adult
