analysis_id,010avj0e2fzo2iz
parameter_id,MGP_PBI_002_001
mouse_life_stage,E15.5
mouse_strain,C52BL
pvalue,0.4878658
gene_accession_id,MGI:88174
parameter_name,Alpha beta T cell percentage
gene_symbol,Bmi1
