analysis_id,1silq677r1qb1gt
pvalue,0.3132767
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1921493
parameter_id,MGP_IMM_072_001
parameter_name,CD4+ T helper cells - % of CD45+
gene_symbol,Slx4ip
