analysis_id,i8x490ctp6em74w
gene_accession_id,MGI:1914556
pvalue,0.255966
parameter_id,IMPC_XRY_021_001
mouse_strain,C57BL
parameter_name,Humerus
gene_symbol,Zc2hc1a
mouse_life_stage,Early adult
