parameter_id,IMPC_GEP_076_001
gene_symbol,Slc30a4
pvalue,0.8164748
parameter_name,Cleft palate
mouse_life_stage,Late adult
gene_accession_id,MGI:1345282
analysis_id,48t74361urall7x
mouse_strain,C57BL
