gene_symbol,Hrnr
analysis_id,x3holxrb15we9ky
mouse_life_stage,Early adult
pvalue,0.718002
gene_accession_id,MGI:3046938
parameter_name,Gait
parameter_id,IMPC_CSD_033_001
mouse_strain,C57BL
