parameter_name,Snout size
analysis_id,ie24267lpt15459
mouse_strain,129SV
parameter_id,IMPC_CSD_028_001
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
gene_symbol,Mms22l
pvalue,0.8603079
