Analysis_id,134qh1f1v9svvi1
Pvalue,0.8929099
mouse_life_stage,E9.5
Mouse_strain,C57BL
Parameter_name,Thoracic processes
Parameter_id,IMPC_XRY_064_001
Gene_symbol,Eprs1
Gene_accession_id,MGI:97838
