analysis_id,6k2xe9n68t00zui
mouse_life_stage,Early adult
gene_symbol,Sgip1
pvalue,0.3859943
parameter_name,Caudal processes
gene_accession_id,MGI:1920344
mouse_strain,C57BL
parameter_id,IMPC_XRY_067_001
