parameter_name,Activity (body position)
pvalue,0.1143867
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,g93dymog1u529h0
gene_symbol,Frmpd1
parameter_id,IMPC_CSD_029_001
gene_accession_id,MGI:2446274
