parameter_id,JAXLA_HBD_001_001
mouse_life_stage,Early adult
pvalue,0.4178547
parameter_name,Total holepokes
analysis_id,o1215bhc24eusao
mouse_strain,C57BL
gene_accession_id,MGI:1888742
gene_symbol,Extl1
