parameter_name,lens
gene_accession_id,MGI:1332236
analysis_id,150264787u71n1t
mouse_strain,C57BL
pvalue,0.8971449
mouse_life_stage,Early adult
gene_symbol,Cds2
parameter_id,M-G-P_014_001_009
