gene_symbol,Rap2b
pvalue,0.4589807
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
parameter_name,Activity (body position)
parameter_id,IMPC_CSD_029_001
analysis_id,o15f1et57hu856q
