gene_symbol,Serinc3
gene_accession_id,MGI:1349457
parameter_id,IMPC_OFD_022_001
pvalue,0.7995569
analysis_id,an35m0zoz557472
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Percentage center time
