mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
parameter_name,Total T cells - % of CD45+
pvalue,0.5531417
analysis_id,s9j4t9f0luof897
parameter_id,MGP_IMM_001_001
gene_symbol,Bpifa3
