gene_symbol,Cntfr
mouse_strain,C57BL
parameter_id,IMPC_ECH_018_001
parameter_name,Respiration Rate
pvalue,0.5747703
analysis_id,cyur8gzac663v8s
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
