gene_symbol,Dnaaf9
analysis_id,5b628taa0s8u3lt
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:1923029
mouse_life_stage,Early adult
pvalue,0.935768
mouse_strain,C57BL
parameter_id,MGP_MLN_006_001
