analysis_id,q8976n0muw4ds5x
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1929242
pvalue,0.4629103
gene_symbol,Ivd
parameter_id,IMPC_GEO_048_002
parameter_name,Anophthalmia
