gene_symbol,Ssr2
gene_accession_id,MGI:1913506
parameter_id,IMPC_ECG_008_001
mouse_life_stage,Early adult
analysis_id,4u7h98v822pufl4
mouse_strain,C57BL
pvalue,0.5881208
parameter_name,ST
